My Generated Report
"Michigan State University"
"Michigan Technological University"
"Northern Michigan University"
"Oakland University"
"Saginaw Valley State University"
"University of Detroit Mercy"
"University of Michigan"
"Wayne State University"
"Western Michigan University"
"Carleton College"
"Macalester College"
"Minnesota State Colleges and Universities"
"University of Minnesota"
"Alcorn State University"
"Delta State University"
"Jackson State University"
"Mississippi State University"
"Mississippi University for Women"
"Mississippi Valley State University"
"University of Mississippi"
"University of Southern Mississippi"
"Maryville University"
"Saint Louis University"
"University of Missouri"
"Washington University"
"Danforth"
"Medical"
"Webster University"
"Midland University"
"University of Nebraska System"
"Lincoln"
"Omaha"
"College of New Jersey"
"Drew University"
"Fairleigh Dickinson University"
"Kean University"
"Monmouth University"
"Montclair State University"
"New Jersey Institute of Technology"
"Princeton University"
"Rider University"
"Rowan University"
"Rutgers University"
"Seton Hall University"
"Stevens Institute of Technology"
"Stockton University"
"Adelphi University"
"Barnard College"
"City University of New York"
"Colgate University"
"Columbia University"
"Cornell University"
"Fordham University"
"Hilbert College"
"Hobart and William Smith Colleges"
"Hofstra University"
"Iona College"
"Ithaca College"
"The Juilliard School"
"Long Island University"
"Manhattan College"
"Mercy College"
"Molloy College"
"Nazareth College"
"New York Institute of Technology"
"New York University"
"Pace University"
"Rensselaer Polytechnic Institute"
"Rochester Institute of Technology"
"Sarah Lawrence College"
"Siena College"
"Skidmore College"
"State University of New York"
"Syracuse University"
"University of Rochester"
"Vassar University"
"Wagner College"
"Yeshiva University"
"Duke University"
"Elon University"
"Mars Hill University"
"University of North Carolina System"
"Appalachian State University"
"North Carolia State University"
"North Dakota State University"
"Baldwin Wallace College"
"Bowling Green State University"
"Capital University"
"Case Western Reserve University"
"Central State University"
"Clark State Community College"
"College of Wooster"
"Denison University"
"John Carroll University"
"Kent State University"
"Kenyon College"
"Miami University"
"Oberlin College"
"Ohio Northern University"
"Ohio State University"
"Ohio University"
"Otterbein University"
"Sinclair Community College"
"University of Akron"
"University of Cincinnati"
"University of Dayton"
"University of Findlay"
"University of Northwestern Ohio"
"University of Toledo"
"Wittenberg University"
"Wright State University"
"Xavier University"
"Oklahoma State University"
"Stillwater"
"Tulsa"
"University of Central Oklahoma"
"University of Oklahoma"
"University of Tulsa"
"Oregon State University"
"University of Oregon"
"Allegheny College"
"Arcadia University"
"Bloomsburg University"
"Bryn Mawr College"
"Bucknell University"
"Carlow University"
"Carnegie Mellon University"
"Chatham University"
"Dickinson College"
"Duquesne University"
"Edinboro University"
"Haverford College"
"Indiana University of Pennsylvania"
"Kuztown University"
"La Salle University"
"Lafayette College"
"Lehigh University"
"Lincoln University"
"Lock Haven University"
"Misericordia University"
"Muhlenberg College"
"Pennsylvania College of Health Sciences"
"Pennsylvania College of Technology"
"Pennsylvania State University"
"Point Park University"
"Robert Morris University"
"Slippery Rock University"
"Swarthmore College"
"Temple University"
"University of Pittsburgh"
"University of Scranton"
"Ursinus College"
"Villanova University"
"West Chester University"
"Widener University"
"University of Pennsylvania"
"Brown University"
"Bryant University"
"Rhode Island College"
"University of Rhode Island"
"Clemson University"
"Coastal Carolina University"
"Furman University"
"Spartanburg Methodist College"
"University of South Carolina"
"Belmont University"
"Christian Brothers University"
"Rhodes College"
"Trevecca Nazarene University"
"University of Memphis"
"University of Tennessee System"
"Knoxville"
"Martin"
"Vanderbilt University"
"Alamo Colleges District"
"Baylor University"
"Rice University"
"Texas Christian University"
"Texas Southern University"
"Texas State University"
"Texas Tech University"
"Texas Wesleyan University"
"Trinity University"
"University of Houston"
"University of Texas System"
"Austin"
"Dallas"
"San Antonio"
"Tyler"
"Snow College"
"University of Utah"
"Utah State University"
"Westminster College"
"Champlain College"
"Middlebury College"
"University of Vermont"
"Emory and Henry College"
"George Mason University"
"Germanna Community College"
"James Madison University"
"Longwood University"
"Marymount University"
"Northern Virginia Community College"
"Old Dominion University"
"Radford University"
"Randolph College"
"Roanoke College"
"University of Lynchburg"
"University of Mary Washington"
"University of Virginia"
"Virginia Commonwealth University"
"Virginia Polytechnic Institute and State University"
"Bellevue College"
"Bellingham Technical College"
"Cascadia College"
"Lake Washington Institute of Technology"
"Northeastern University"
"Pacific Lutheran University"
"Seattle University"
"Skagit Valley College"
"South Seattle College"
"University of Puget Sound"
"University of Washington"
"Washington State University"
"Western Washington University"
"Concord University"
"Marshall University"
"West Virginia University"
"West Virginia Wesleyan College"
"Beloit College"
"Carthage College"
"Edgewood College"
"Lawrence University"
"Marquette University"
"University of Wisconsin"
"Green Bay"
"Lacrosse"
"Madison"
"Milwaukee"
"Oshkosh"
"River Falls"
"Stevens Point"
"Stout"
"Viterbo University"
"University of Wyoming"
